qn,intent
hello,greeting_1
hi,greeting_1
hey,greeting_1
hai,greeting_1
yo,greeting_1
you there!,greeting_1
sup,greeting_1
dude,greeting_1
bro,greeting_1
buddy,greeting_1
good morning,greeting_2
good afternoon,greeting_2
good evening,greeting_2
good day,greeting_2
how are you?,greeting_3
how do you do?,greeting_3
howdy?,greeting_3
thanks,greeting_4
thank you,greeting_4
name,name
your name,name
your name?,name
what is your name,name
whom am I speaking to?,name
me your name?,name
may I know name?,name
may i know with who i am chatting with,name
tell me about you?,about_me
who are you?,about_me
what are you?,about_me
explain about yourself?,about_me
who is your master?,developer
developer,developer
who built you?,developer
built by?,developer
who developed you?,developer
developed by?,developer
who created you,developer
your creator,developer
creator,developer
what is bigdata,intro
What is data science,intro
I am here to enquire about data science,intro
about data science,intro
big data analytics,intro
interested in doing data science and machine learning,intro
I want to learn data science,intro
I want informtion about bigdata,intro
I need a course,intro
I just finished my engineering. I want to learn data science.,intro
I want to join a course,intro
I am here to enquire about big data,intro
I want to learn big data,intro
I want informtion about data science,intro
I am interested in Big Data.  How can you help me?,intro
can you help me finding program in big data?,intro
can you assist me with big data programs,intro
"hey, I am interested in your program?",intro
Tell me about the courses?,courses
What are all the courses your offering?,courses
May I know about the course?,courses
what do you teach,courses
about the types of courses?,courses
courses you offer?,courses
May I know about the available courses?,courses
courses are available?,courses
kind of courses are you offering in your institute?,courses
May I know the courses list?,courses
Types of courses you offer?,courses
kind of programs you have?,courses
Types of programs?,courses
are all the programs you handle?,courses
courses do you teach?,courses
types of courses do you offer?,courses
How many courses are available?,courses
All courses?,courses
about your courses?,courses
I would like to know the courses you offer?,courses
Please let me know about the courses you provide?,courses
Courses you offer?,courses
Courses you provide?,courses
Courses available?,courses
Courses you teach?,courses
Courses you have?,courses
Kind of courses do you have?,courses
May I get the list of courses you offer?,courses
are all the list of courses you have?,courses
Give me the list of programs you offer?,courses
List of available course?,courses
List of course you provide?,courses
List of programs you handle?,courses
Can I have the list of course you have?,courses
Could you please provide me the list of course you have?,courses
Provide the course list?,courses
Can you provide the course list?,courses
Different types of courses?,courses
